"duty_station","type","parent","street","city","state","zip","address","phone","url"
"Atlanta","Field Office","","1500 Centre Parkway","Atlanta","GA","30344","1500 Centre Parkway, Atlanta, GA 30344","404-629-4100","https://www.cbp.gov/about/contact/ports/field-office/atlanta"
"Charleston, South Carolina - 1601","Port of Entry","Atlanta","200 East Bay Street","Charleston","SC","29401","200 East Bay Street, Charleston, SC 29401","843-579-6500","https://www.cbp.gov/about/contact/ports/charleston-south-carolina-1601"
"Columbia, South Carolina - 1604","Port of Entry","Atlanta","2533A Airport Boulevard","West Columbia","SC","29170","2533A Airport Boulevard, West Columbia, SC 29170","803-822-5251","https://www.cbp.gov/about/contact/ports/columbia-south-carolina-1604"
"Myrtle Beach International Airport, South Carolina - 1681","Port of Entry","Atlanta","1100 Jetport Road","Myrtle Beach","SC","29577","1100 Jetport Road, Myrtle Beach, SC 29577","","https://www.cbp.gov/about/contact/ports/myrtle-beach-international-airport-south-carolina-1681"
"Greenville-Spartanburg, South Carolina - 1603","Port of Entry","Atlanta","150 A West Phillips Road","Greer","SC","29650","150 A West Phillips Road, Greer, SC 29650","864-877-8006","https://www.cbp.gov/about/contact/ports/greenville-spartanburg-south-carolina-1603"
"Georgetown, South Carolina - 1602","Port of Entry","Atlanta","State Ports Authority, Pier 31","Georgetown","SC","29442","State Ports Authority, Pier 31, Georgetown, SC 29442","","https://www.cbp.gov/about/contact/ports/georgetown-south-carolina-1602"
"Savannah, Georgia - 1703","Port of Entry","Atlanta","139 Southern Blvd","Savannah","GA","31405","139 Southern Blvd, Savannah, GA 31405","912-721-4840","https://www.cbp.gov/about/contact/ports/savannah-georgia-1703"
"Brunswick, Georgia - 1701","Port of Entry","Atlanta","700 Gloucester Street, 2nd Floor","Brunswick","GA","31520","700 Gloucester Street, 2nd Floor, Brunswick, GA 31520","912-262-6692","https://www.cbp.gov/about/contact/ports/brunswick-georgia-1701"
"Greensboro/Winston-Salem, North Carolina - 1502","Port of Entry","Atlanta","532-C North Regional Road","Greensboro","NC","27409","532-C North Regional Road, Greensboro, NC 27409","336-668-7272","https://www.cbp.gov/about/contact/ports/greensborowinston-salem-north-carolina-1502"
"Raleigh-Durham, North Carolina - 1503","Port of Entry","Atlanta","2400 John Brantley Boulevard","Morrisville","NC","27560","2400 John Brantley Boulevard, Morrisville, NC 27560","919-674-3400","https://www.cbp.gov/about/contact/ports/raleigh-durham-north-carolina-1503"
"Wilmington, North Carolina - 1501","Port of Entry","Atlanta","721 Medical Center Drive","Wilmington","NC","28401","721 Medical Center Drive, Wilmington, NC 28401","910-772-5900","https://www.cbp.gov/about/contact/ports/wilmington-north-carolina-1501"
"Charlotte, North Carolina - 1512","Port of Entry","Atlanta","1901 Cross beam Drive","Charlotte","NC","28217","1901 Cross beam Drive, Charlotte, NC 28217","704-329-6120","https://www.cbp.gov/about/contact/ports/charlotte-north-carolina-1512"
"Morehead City - Beaufort, North Carolina - 1511","Port of Entry","Atlanta","534H 35th Street","Morehead City","NC","28557","534H 35th Street, Morehead City, NC 28557","252-726-5845","https://www.cbp.gov/about/contact/ports/morehead-city-beaufort-north-carolina-1511"
"Baltimore Field Office","Field Office","","217 E. Redwood Street","Baltimore","MD","21202","217 E. Redwood Street, Baltimore, MD 21202","410-962-6200","https://www.cbp.gov/about/contact/ports/field-office/baltimore-field-office"
"Baltimore, Maryland - 1303","Port of Entry","Baltimore Field Office","40 South Gay Street","Baltimore","MD","21202","40 South Gay Street, Baltimore, MD 21202","410-962-2666","https://www.cbp.gov/about/contact/ports/baltimore-maryland-1303"
"Wilmington, Delaware - 1103","Port of Entry","Baltimore Field Office","908 New Churchman's Road","New Castle","DE","19720","908 New Churchman's Road, New Castle, DE 19720","","https://www.cbp.gov/about/contact/ports/wilmington-delaware-1103"
"Port of Washington-Dulles, Virginia - 5401","Port of Entry","Baltimore Field Office","1 Saarinen Circle","Sterling","VA","20166","1 Saarinen Circle, Sterling, VA 20166","703-661-2800","https://www.cbp.gov/about/contact/ports/port-washington-dulles-virginia-5401"
"Charleston, West Virginia - 1409","Port of Entry","Baltimore Field Office","280 Eagle Mountain Road","Charleston","WV","25311","280 Eagle Mountain Road, Charleston, WV 25311","304-344-8001","https://www.cbp.gov/about/contact/ports/charleston-west-virginia-1409"
"Norfolk-Newport News, Virginia - 1401","Port of Entry","Baltimore Field Office","101 E. Main Street","Norfolk","VA","23510","101 E. Main Street, Norfolk, VA 23510","757-533-4200","https://www.cbp.gov/about/contact/ports/norfolk-newport-news-virginia-1401"
"Richmond - Petersburg, Virginia - 1404","Port of Entry","Baltimore Field Office","5707 Huntsman Road, Suite 104","Richmond","VA","23250","5707 Huntsman Road, Suite 104, Richmond, VA 23250","804-226-9675","https://www.cbp.gov/about/contact/ports/richmond-petersburg-virginia-1404"
"New River Valley Airport, Virginia - 1412","Port of Entry","Baltimore Field Office","No personnel on site.","Dublin","VA","24084","No personnel on site., Dublin, VA 24084","804-226-9675","https://www.cbp.gov/about/contact/ports/new-river-valley-airport-virginia-1412"
"Front Royal, Virginia - 1410","Port of Entry","Baltimore Field Office","No CBP personnel on site.","Front Royal","VA","22630","No CBP personnel on site., Front Royal, VA 22630","804-226-9675","https://www.cbp.gov/about/contact/ports/front-royal-virginia-1410"
"Philadelphia, Pennsylvania - 1101","Port of Entry","Baltimore Field Office","200 Chestnut Street","Philadelphia","PA","19106","200 Chestnut Street, Philadelphia, PA 19106","215-717-5800","https://www.cbp.gov/about/contact/ports/philadelphia-pennsylvania-1101"
"Harrisburg, Pennsylvania - 1109","Port of Entry","Baltimore Field Office","Port of Harrisburg","Mechanicsburg","PA","17055","Port of Harrisburg, Mechanicsburg, PA 17055","717-691-7136","https://www.cbp.gov/about/contact/ports/harrisburg-pennsylvania-1109"
"Pittsburgh, Pennsylvania - 1104","Port of Entry","Baltimore Field Office","Pittsburgh International Airport","Pittsburgh","PA","15231","Pittsburgh International Airport, Pittsburgh, PA 15231","","https://www.cbp.gov/about/contact/ports/pittsburgh-pennsylvania-1104"
"Boston","Field Office","","10 Causeway St","Boston","MA","02222","10 Causeway St, Boston, MA 02222","617-565-6208","https://www.cbp.gov/about/contact/ports/field-office/boston"
"Derby Line, Vermont - 0209","Port of Entry","Boston","Interstate 91","Derby Line","VT","05830","Interstate 91, Derby Line, VT 05830","","https://www.cbp.gov/about/contact/ports/derby-line-vermont-0209"
"St. Albans, Vermont - 0201","Port of Entry","Boston","50 S. Main Street, Suite 100R","St. Albans","VT","05478","50 S. Main Street, Suite 100R, St. Albans, VT 05478","802-527-6527","https://www.cbp.gov/about/contact/ports/st-albans-vermont-0201"
"Richford, Vermont - 0203","Port of Entry","Boston","705 Province Street","Richford","VT","05476","705 Province Street, Richford, VT 05476","802-848-7786","https://www.cbp.gov/about/contact/ports/richford-vermont-0203"
"Norton, Vermont - 0211","Port of Entry","Boston","Rt. 114 at the Border","Norton","VT","05907","Rt. 114 at the Border, Norton, VT 05907","","https://www.cbp.gov/about/contact/ports/norton-vermont-0211"
"Beecher Falls, Vermont - 0206","Port of Entry","Boston","Rt. 253 at the Border","Beecher Falls","VT","05902","Rt. 253 at the Border, Beecher Falls, VT 05902","","https://www.cbp.gov/about/contact/ports/beecher-falls-vermont-0206"
"Burlington International Airport, Vermont - 0207","Port of Entry","Boston","228 Aviation Ave. - Suite 100","South Burlington","VT","05403","228 Aviation Ave. - Suite 100, South Burlington, VT 05403","802-864-5181","https://www.cbp.gov/about/contact/ports/burlington-international-airport-vermont-0207"
"Highgate Springs, Vermont - 0212","Port of Entry","Boston","Interstate 89 at the Border","Highgate Springs","VT","05460","Interstate 89 at the Border, Highgate Springs, VT 05460","802-868-2778","https://www.cbp.gov/about/contact/ports/highgate-springs-vermont-0212"
